Target,Model,Subject,Accuracy,F1,Precision,Recall
Valence,RandomForest,23,0.6111111111111112,0.72,0.6,0.9
Valence,LogisticRegression,23,0.5555555555555556,0.6666666666666666,0.5714285714285714,0.8
Valence,SVM,23,0.5,0.6666666666666666,0.5294117647058824,0.9
Arousal,RandomForest,1,0.6666666666666666,0.7857142857142857,0.6470588235294118,1.0
Arousal,LogisticRegression,1,0.6111111111111112,0.7407407407407407,0.625,0.9090909090909091
Arousal,SVM,1,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,RandomForest,2,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,LogisticRegression,2,0.8333333333333334,0.9032258064516129,0.8235294117647058,1.0
Arousal,SVM,2,0.7777777777777778,0.875,0.7777777777777778,1.0
Arousal,RandomForest,3,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,LogisticRegression,3,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,SVM,3,0.6111111111111112,0.7586206896551724,0.6111111111111112,1.0
Arousal,RandomForest,4,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,LogisticRegression,4,0.7777777777777778,0.8461538461538461,0.7857142857142857,0.9166666666666666
Arousal,SVM,4,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,RandomForest,5,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,LogisticRegression,5,0.6666666666666666,0.8,0.7058823529411765,0.9230769230769231
Arousal,SVM,5,0.7222222222222222,0.8387096774193549,0.7222222222222222,1.0
Arousal,RandomForest,6,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,LogisticRegression,6,0.6111111111111112,0.7586206896551724,0.9166666666666666,0.6470588235294118
Arousal,SVM,6,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,RandomForest,7,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Arousal,LogisticRegression,7,0.7777777777777778,0.875,0.875,0.875
Arousal,SVM,7,0.8888888888888888,0.9411764705882353,0.8888888888888888,1.0
Arousal,RandomForest,8,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,LogisticRegression,8,0.6666666666666666,0.75,0.75,0.75
Arousal,SVM,8,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,RandomForest,9,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,LogisticRegression,9,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,SVM,9,0.9444444444444444,0.9714285714285714,0.9444444444444444,1.0
Arousal,RandomForest,10,0.5,0.6666666666666666,0.5,1.0
Arousal,LogisticRegression,10,0.3888888888888889,0.56,0.4375,0.7777777777777778
Arousal,SVM,10,0.5,0.6666666666666666,0.5,1.0
Arousal,RandomForest,11,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,LogisticRegression,11,0.5555555555555556,0.7142857142857143,0.625,0.8333333333333334
Arousal,SVM,11,0.6666666666666666,0.8,0.6666666666666666,1.0
Arousal,RandomForest,12,0.7777777777777778,0.875,0.7777777777777778,1.0
